Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
decrescente,100000.in,30.834171859,100000,4999950000,4999950000
decrescente,10000.in,.195873969,10000,49995000,49995000
decrescente,1000.in,.005636559,1000,499500,499500
decrescente,100.in,.003775891,100,4950,4950
crescente,100000.in,.015484269,100000,99999,0
crescente,10000.in,.004903172,10000,9999,0
crescente,1000.in,.003705414,1000,999,0
crescente,100.in,.003501952,100,99,0
aleatorio,100000_1.in,25.494011388,100000,4999904549,2501316212
aleatorio,100000_2.in,25.038812607,100000,4999883570,2512096764
aleatorio,100000_3.in,24.854420897,100000,4999946514,2502745829
aleatorio,100000_4.in,27.108185611,100000,4999880249,2501301708
aleatorio,100000_5.in,32.411057547,100000,4999915809,2501401050
aleatorio,10000_1.in,.214874980,10000,49993170,24926238
aleatorio,10000_2.in,.254958147,10000,49992444,25024472
aleatorio,10000_3.in,.277217691,10000,49992920,24876381
aleatorio,10000_4.in,.212351336,10000,49991919,25159138
aleatorio,10000_5.in,.266039227,10000,49991679,25132218
aleatorio,1000_1.in,.005197814,1000,498870,241356
aleatorio,1000_2.in,.008096430,1000,499347,258183
aleatorio,1000_3.in,.007840346,1000,499122,255739
aleatorio,1000_4.in,.005253273,1000,497847,248037
aleatorio,1000_5.in,.003998506,1000,499224,248155
aleatorio,100_1.in,.002389682,100,4884,2322
aleatorio,100_2.in,.002470661,100,4944,2003
aleatorio,100_3.in,.002911610,100,4814,2557
aleatorio,100_4.in,.002571893,100,4830,2250
aleatorio,100_5.in,.001871774,100,4922,2619
