Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
aleatorio,100000_1.in,21.388096516,100000,704982704,0
aleatorio,100000_2.in,21.007799331,100000,704982704,0
aleatorio,100000_3.in,20.028307513,100000,704982704,0
aleatorio,100000_4.in,19.685252798,100000,704982704,0
aleatorio,100000_5.in,19.287904883,100000,704982704,0
aleatorio,10000_1.in,.206247399,10000,49995000,0
aleatorio,10000_2.in,.192126795,10000,49995000,0
aleatorio,10000_3.in,.194037066,10000,49995000,0
aleatorio,10000_4.in,.195079190,10000,49995000,0
aleatorio,10000_5.in,.194314171,10000,49995000,0
aleatorio,1000_1.in,.003577542,1000,499500,0
aleatorio,1000_2.in,.003155101,1000,499500,0
aleatorio,1000_3.in,.003606153,1000,499500,0
aleatorio,1000_4.in,.007799219,1000,499500,0
aleatorio,1000_5.in,.007980474,1000,499500,0
aleatorio,100_1.in,.003401075,100,4950,0
aleatorio,100_2.in,.003996943,100,4950,0
aleatorio,100_3.in,.003568030,100,4950,0
aleatorio,100_4.in,.003672781,100,4950,0
aleatorio,100_5.in,.003569387,100,4950,0
crescente,100000.in,9.700645465,100000,704982704,0
crescente,10000.in,.117798143,10000,49995000,0
crescente,1000.in,.003365094,1000,499500,0
crescente,100.in,.002675043,100,4950,0
decrescente,100000.in,9.553415123,100000,704982704,0
decrescente,10000.in,.107103557,10000,49995000,0
decrescente,1000.in,.002813609,1000,499500,0
decrescente,100.in,.001822963,100,4950,0
