Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
decrescente,100000.in,.014688856,100000,1024905,974905
decrescente,10000.in,.002597362,10000,63538,58538
decrescente,1000.in,.001362318,1000,7029,6529
decrescente,100.in,.001323695,100,475,425
crescente,100000.in,.008471947,100000,332973,282973
crescente,10000.in,.002012543,10000,40071,35071
crescente,1000.in,.001380300,1000,4909,4409
crescente,100.in,.001450880,100,452,402
aleatorio,100000_1.in,.008885560,100000,316757,266757
aleatorio,100000_2.in,.009225412,100000,308656,258656
aleatorio,100000_3.in,.008808795,100000,327310,277310
aleatorio,100000_4.in,.008832258,100000,320928,270928
aleatorio,100000_5.in,.008746454,100000,317051,267051
aleatorio,10000_1.in,.002100607,10000,41414,36414
aleatorio,10000_2.in,.002113722,10000,41375,36375
aleatorio,10000_3.in,.002123546,10000,43253,38253
aleatorio,10000_4.in,.002135543,10000,44251,39251
aleatorio,10000_5.in,.002044885,10000,40642,35642
aleatorio,1000_1.in,.001541887,1000,4987,4487
aleatorio,1000_2.in,.001377948,1000,5379,4879
aleatorio,1000_3.in,.001328453,1000,5010,4510
aleatorio,1000_4.in,.001285822,1000,5172,4672
aleatorio,1000_5.in,.001457543,1000,4870,4370
aleatorio,100_1.in,.001365189,100,470,420
aleatorio,100_2.in,.001223407,100,456,406
aleatorio,100_3.in,.001318798,100,527,477
aleatorio,100_4.in,.001263077,100,460,410
aleatorio,100_5.in,.001277838,100,519,469
