Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
decrescente,100000.in,11.258572128,100000,5000049999,5000049999
decrescente,10000.in,.200723692,10000,50004999,50004999
decrescente,1000.in,.004817322,1000,500499,500499
decrescente,100.in,.003532685,100,5049,5049
crescente,100000.in,.015802838,100000,99999,99999
crescente,10000.in,.004724116,10000,9999,9999
crescente,1000.in,.003666080,1000,999,999
crescente,100.in,.003674176,100,99,99
aleatorio,100000_1.in,5.208363860,100000,2501416211,2501416211
aleatorio,100000_2.in,5.246690548,100000,2512196763,2512196763
aleatorio,100000_3.in,5.219304984,100000,2502845828,2502845828
aleatorio,100000_4.in,5.208072187,100000,2501401707,2501401707
aleatorio,100000_5.in,5.545707323,100000,2501501049,2501501049
aleatorio,10000_1.in,.091414765,10000,24936237,24936237
aleatorio,10000_2.in,.089904750,10000,25034471,25034471
aleatorio,10000_3.in,.086808985,10000,24886380,24886380
aleatorio,10000_4.in,.088182837,10000,25169137,25169137
aleatorio,10000_5.in,.093292888,10000,25142217,25142217
aleatorio,1000_1.in,.004843800,1000,242355,242355
aleatorio,1000_2.in,.004236827,1000,259182,259182
aleatorio,1000_3.in,.004205229,1000,256738,256738
aleatorio,1000_4.in,.004960700,1000,249036,249036
aleatorio,1000_5.in,.005565242,1000,249154,249154
aleatorio,100_1.in,.003315158,100,2421,2421
aleatorio,100_2.in,.003429076,100,2102,2102
aleatorio,100_3.in,.003195443,100,2656,2656
aleatorio,100_4.in,.003605889,100,2349,2349
aleatorio,100_5.in,.003143438,100,2718,2718
