Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
aleatorio,100000_1.in,.036708203,100000,1668928,1668928
aleatorio,100000_2.in,.027035178,100000,1668928,1668928
aleatorio,100000_3.in,.061735694,100000,1668928,1668928
aleatorio,100000_4.in,.061412187,100000,1668928,1668928
aleatorio,100000_5.in,.061023598,100000,1668928,1668928
aleatorio,10000_1.in,.008756228,10000,133616,133616
aleatorio,10000_2.in,.008680370,10000,133616,133616
aleatorio,10000_3.in,.008988170,10000,133616,133616
aleatorio,10000_4.in,.008796267,10000,133616,133616
aleatorio,10000_5.in,.008449321,10000,133616,133616
aleatorio,1000_1.in,.004143570,1000,9976,9976
aleatorio,1000_2.in,.004069033,1000,9976,9976
aleatorio,1000_3.in,.004029125,1000,9976,9976
aleatorio,1000_4.in,.004115523,1000,9976,9976
aleatorio,1000_5.in,.004219781,1000,9976,9976
aleatorio,100_1.in,.003972343,100,672,672
aleatorio,100_2.in,.003967400,100,672,672
aleatorio,100_3.in,.003891702,100,672,672
aleatorio,100_4.in,.003511142,100,672,672
aleatorio,100_5.in,.003662851,100,672,672
crescente,100000.in,.041558360,100000,1668928,1668928
crescente,10000.in,.007936904,10000,133616,133616
crescente,1000.in,.003878309,1000,9976,9976
crescente,100.in,.003864633,100,672,672
decrescente,100000.in,.042300339,100000,1668928,1668928
decrescente,10000.in,.007237998,10000,133616,133616
decrescente,1000.in,.004068350,1000,9976,9976
decrescente,100.in,.003930696,100,672,672
