Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
aleatorio,100000_1.in,.022962414,100000,2098428,454560
aleatorio,100000_2.in,.017933188,100000,2086632,451779
aleatorio,100000_3.in,.020929888,100000,2096562,450914
aleatorio,100000_4.in,.019938536,100000,2073120,451767
aleatorio,100000_5.in,.018600701,100000,2111747,451484
aleatorio,10000_1.in,.003565592,10000,163247,37504
aleatorio,10000_2.in,.004740128,10000,169666,37325
aleatorio,10000_3.in,.006871737,10000,164410,37320
aleatorio,10000_4.in,.007975854,10000,164444,37334
aleatorio,10000_5.in,.006745370,10000,165274,37366
aleatorio,1000_1.in,.003091107,1000,12931,2871
aleatorio,1000_2.in,.002370829,1000,12198,2992
aleatorio,1000_3.in,.002004333,1000,12687,2938
aleatorio,1000_4.in,.002004765,1000,12588,2942
aleatorio,1000_5.in,.001723794,1000,12477,2943
aleatorio,100_1.in,.001579657,100,823,219
aleatorio,100_2.in,.002439199,100,827,218
aleatorio,100_3.in,.003771972,100,837,222
aleatorio,100_4.in,.001803075,100,862,213
aleatorio,100_5.in,.001982229,100,778,229
crescente,100000.in,.009752369,100000,1600016,65535
crescente,10000.in,.003278803,10000,125439,5904
crescente,1000.in,.002102031,1000,9009,511
crescente,100.in,.001667934,100,606,63
decrescente,100000.in,.009966301,100000,1600030,115534
decrescente,10000.in,.003014752,10000,125452,10904
decrescente,1000.in,.001723466,1000,9016,1010
decrescente,100.in,.001538691,100,610,112
