Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
aleatorio,100000_1.in,.015748588,100000,99999,1500000
aleatorio,100000_2.in,.012564251,100000,99999,1800000
aleatorio,100000_3.in,.011936508,100000,99999,1800000
aleatorio,100000_4.in,.013073679,100000,99999,1500000
aleatorio,100000_5.in,.012551940,100000,99999,1800000
aleatorio,10000_1.in,.002484007,10000,9999,150000
aleatorio,10000_2.in,.002687515,10000,9999,120000
aleatorio,10000_3.in,.002881178,10000,9999,150000
aleatorio,10000_4.in,.003756384,10000,9999,150000
aleatorio,10000_5.in,.002738326,10000,9999,150000
aleatorio,1000_1.in,.001941265,1000,999,9000
aleatorio,1000_2.in,.002065986,1000,999,12000
aleatorio,1000_3.in,.002041704,1000,999,12000
aleatorio,1000_4.in,.002197107,1000,999,12000
aleatorio,1000_5.in,.001860590,1000,999,9000
aleatorio,100_1.in,.001851587,100,99,900
aleatorio,100_2.in,.001665857,100,99,600
aleatorio,100_3.in,.001914269,100,99,900
aleatorio,100_4.in,.002361924,100,99,900
aleatorio,100_5.in,.001923591,100,99,600
crescente,100000.in,.012174437,100000,99999,1800000
crescente,10000.in,.003249210,10000,9999,150000
crescente,1000.in,.001610865,1000,999,12000
crescente,100.in,.001875999,100,99,900
decrescente,100000.in,.012072473,100000,99999,1500000
decrescente,10000.in,.002845618,10000,9999,120000
decrescente,1000.in,.002017219,1000,999,9000
decrescente,100.in,.001901986,100,99,600
