Diretório,Arquivo,TempoReal,NumCasos,ComChaves,MovRegistros
decrescente,100000.in,.035697364,100000,1500006,1500006
decrescente,10000.in,.006273614,10000,120005,120005
decrescente,1000.in,.004415254,1000,8006,8006
decrescente,100.in,.003064178,100,503,503
crescente,100000.in,.019745655,100000,2344566,2344566
crescente,10000.in,.005366187,10000,182565,182565
crescente,1000.in,.002749393,1000,12706,12706
crescente,100.in,.003642418,100,763,763
aleatorio,100000_1.in,.034169577,100000,4358433,4358433
aleatorio,100000_2.in,.032193879,100000,4243191,4243191
aleatorio,100000_3.in,.032727163,100000,4420404,4420404
aleatorio,100000_4.in,.033510235,100000,4492699,4492699
aleatorio,100000_5.in,.032195839,100000,4218546,4218546
aleatorio,10000_1.in,.004862942,10000,274412,274412
aleatorio,10000_2.in,.004904951,10000,273323,273323
aleatorio,10000_3.in,.005235411,10000,264933,264933
aleatorio,10000_4.in,.004719990,10000,261639,261639
aleatorio,10000_5.in,.005417804,10000,264129,264129
aleatorio,1000_1.in,.002542593,1000,14667,14667
aleatorio,1000_2.in,.002577911,1000,15093,15093
aleatorio,1000_3.in,.002485767,1000,16347,16347
aleatorio,1000_4.in,.002439064,1000,15281,15281
aleatorio,1000_5.in,.002830172,1000,15631,15631
aleatorio,100_1.in,.002265904,100,948,948
aleatorio,100_2.in,.003235072,100,861,861
aleatorio,100_3.in,.003113239,100,904,904
aleatorio,100_4.in,.002085953,100,908,908
aleatorio,100_5.in,.002243802,100,900,900
